"Total Transaction Value
($M)","M&A Completion Date
(dd/mm/yyyy)"
0.08,01/03/2015
934.68,13/12/2015
263.13,23/12/2015
"3,557.07",15/10/2015
553.11,14/12/2015
78.76,11/12/2020
"2,107.06",16/10/2015
49.00,29/03/2019
481.18,16/02/2017
0.47,25/04/2018
47.09,31/08/2016
98.66,04/08/2020
351.84,01/08/2017
164.00,20/08/2015
0.40,11/07/2018
0.46,31/10/2019
0.41,04/07/2022
0.00,23/05/2018
10.50,15/10/2021
0.97,09/03/2016
4.05,09/03/2016
0.70,17/11/2016
28.07,05/08/2017
15.31,07/04/2022
"2,500.00",08/11/2019
18.60,31/10/2017
0.37,29/07/2022
313.50,05/06/2018
157.00,25/01/2022
"10,331.91",31/08/2021
3.30,14/02/2019
10.29,30/04/2018
144.40,31/03/2016
14.04,09/01/2017
35.67,08/12/2022
67.07,09/02/2017
0.67,31/07/2017
8.60,17/11/2022
"1,009.13",27/09/2016
0.80,31/01/2015
2.24,06/10/2017
203.00,24/04/2015
35.80,24/06/2015
146.50,19/12/2016
6.30,17/01/2017
10.40,20/01/2017
4.80,07/11/2015
6.78,18/11/2016
10.08,14/01/2019
31.94,15/08/2018
15.94,16/09/2016
0.44,31/07/2015
70.59,08/01/2021
0.36,27/05/2016
22.12,22/03/2016
6.19,27/03/2015
5.50,30/06/2015
6.85,27/03/2019
41.29,23/09/2020
33.49,18/12/2015
320.11,18/12/2016
0.25,08/01/2015
18.27,11/02/2015
1.35,30/09/2019
21.17,30/06/2017
1.59,21/08/2017
7.31,15/09/2016
2.10,15/01/2016
22.10,02/09/2022
10.00,02/11/2020
15.00,28/08/2019
"3,251.30",21/07/2021
0.85,31/08/2015
0.69,30/06/2021
2.05,25/05/2017
6.00,08/06/2021
10.54,27/04/2020
0.18,09/03/2018
7.60,29/07/2021
523.85,23/12/2020
223.90,29/11/2022
33.95,30/10/2015
35.00,03/08/2017
3.58,02/01/2015
15.00,28/02/2020
585.89,04/08/2021
14.76,03/12/2020
300.00,12/05/2021
27.25,02/08/2017
500.00,04/01/2019
0.59,05/06/2017
0.62,14/07/2020
8.26,17/02/2016
22.75,31/08/2015
337.62,01/06/2021
"5,607.06",01/02/2015
35.45,22/05/2015
6.48,11/05/2016
40.00,03/12/2019
30.00,23/09/2019
1.49,29/07/2015
62.00,14/12/2021
15.66,18/04/2016
0.02,15/04/2021
NA,13/06/2018
180.00,09/03/2018
"1,425.00",27/12/2021
NA,19/12/2016
988.79,28/10/2022
18.50,10/01/2019
1.42,01/08/2018
34.97,29/02/2016
2.66,31/10/2017
11.22,30/04/2019
9.50,23/04/2015
699.86,30/09/2022
98.40,26/07/2018
0.03,26/12/2016
306.17,30/06/2020
"1,500.00",01/04/2022
120.08,01/07/2022
"1,945.68",31/08/2020
298.53,30/06/2021
0.07,18/12/2015
150.45,22/01/2019
0.00,09/03/2020
2.46,17/01/2019
28.01,27/09/2019
33.71,23/07/2020
219.24,01/07/2016
15.98,30/09/2016
164.84,03/02/2015
23.80,01/02/2016
2.82,14/12/2015
115.56,25/10/2015
29.17,31/10/2018
225.00,01/10/2020
215.00,18/11/2015
5.95,15/05/2015
0.01,23/12/2021
0.41,20/08/2021
28.70,07/06/2021
NA,08/09/2021
0.07,07/09/2015
5.52,25/01/2016
0.50,16/11/2020
10.06,04/01/2016
408.87,02/11/2016
3.72,23/02/2016
1.13,31/03/2017
0.00,31/03/2017
0.70,26/02/2016
0.00,11/12/2015
98.45,16/11/2020
149.76,25/03/2018
49.92,25/03/2018
435.98,27/11/2019
15.42,28/09/2017
36.26,02/09/2017
62.91,31/08/2022
0.12,29/12/2015
134.04,30/03/2015
266.90,08/07/2019
5.71,17/06/2020
183.45,06/10/2016
27.72,01/07/2015
NA,28/12/2017
32.49,23/11/2022
0.32,15/07/2019
12.03,23/01/2018
19.55,24/08/2022
38.66,24/06/2016
38.43,21/05/2021
132.61,08/04/2022
52.35,23/11/2021
"5,836.65",29/04/2019
45.42,02/10/2018
1.21,04/08/2015
64.14,22/12/2021
21.47,15/03/2021
11.61,31/12/2016
120.57,20/08/2021
3.96,03/09/2018
7.10,24/04/2020
24.10,28/12/2016
215.86,06/12/2022
20.00,05/09/2017
292.02,18/10/2016
64.85,29/04/2016
0.86,23/08/2019
33.92,28/01/2019
10.67,05/01/2015
0.10,30/10/2015
117.68,01/05/2019
0.01,04/10/2017
301.78,07/10/2020
271.73,07/10/2020
26.77,24/09/2020
70.52,31/10/2019
"1,013.46",30/01/2019
463.12,18/02/2015
1.70,25/08/2016
55.34,09/01/2015
11.09,15/03/2019
2.08,26/02/2015
0.18,02/04/2015
8.91,08/06/2015
0.19,23/03/2015
1.09,12/11/2015
6.68,30/08/2016
8.68,30/06/2016
4.87,07/07/2020
0.00,11/12/2018
70.75,13/04/2022
140.00,20/12/2021
24.68,31/12/2020
2.93,27/04/2016
0.11,30/12/2020
1.59,07/12/2015
1.74,30/12/2016
0.37,06/11/2019
2.35,10/02/2022
1.69,01/07/2016
3.48,28/09/2016
0.01,27/02/2019
41.76,01/07/2016
1.71,02/09/2015
0.03,11/12/2020
295.59,04/06/2020
57.00,31/12/2017
198.90,20/09/2018
25.47,20/12/2018
30.70,21/12/2018
0.02,22/07/2022
394.00,23/12/2020
0.00,12/02/2016
0.04,11/02/2015
0.00,13/05/2015
0.10,31/12/2017
0.50,31/08/2020
0.00,27/08/2015
2.70,28/06/2016
0.39,29/04/2015
0.76,15/05/2015
0.01,05/03/2015
0.14,10/10/2018
1.24,05/08/2019
0.54,24/05/2019
0.45,02/01/2018
27.84,07/02/2020
70.00,30/09/2018
3.20,30/10/2017
19.49,01/09/2016
0.01,30/10/2015
0.69,30/09/2016
0.03,27/09/2018
27.95,19/06/2019
0.08,20/03/2015
0.01,05/03/2015
0.13,23/03/2017
7.15,16/12/2015
0.70,30/11/2016
0.00,29/08/2022
0.02,04/05/2016
2.11,21/01/2019
1.99,14/02/2017
0.19,18/12/2015
0.49,30/09/2016
2.29,20/07/2020
4.32,25/06/2018
0.01,14/01/2015
0.00,23/10/2015
0.00,04/09/2015
0.00,23/12/2019
10.83,13/01/2015
0.00,31/03/2017
0.60,31/03/2017
0.73,31/10/2017
0.27,28/09/2017
0.21,29/09/2017
0.13,02/11/2017
0.33,06/09/2017
1.13,08/09/2017
0.68,04/09/2017
0.93,07/09/2017
0.57,17/11/2017
0.30,13/11/2017
0.28,17/11/2017
0.13,18/10/2017
0.13,16/10/2017
0.01,16/10/2017
0.39,25/09/2017
0.06,11/09/2017
1.19,15/09/2017
0.51,18/09/2017
0.33,15/09/2017
0.39,27/09/2017
0.08,18/03/2016
34.04,17/05/2017
0.00,11/09/2019
28.64,02/04/2015
9.90,11/03/2015
0.00,29/12/2015
0.01,28/12/2015
44.90,21/12/2015
0.76,21/12/2015
53.09,14/12/2015
48.60,23/06/2016
6.50,10/08/2020
0.27,03/08/2016
0.00,30/06/2022
247.90,18/08/2016
1.24,18/07/2016
43.98,25/06/2015
1.29,31/03/2016
0.08,19/07/2016
5.00,26/09/2022
1.62,01/08/2019
8.19,19/07/2019
2.49,21/08/2018
0.55,15/06/2017
3.33,30/06/2015
3.84,28/06/2016
37.66,31/08/2016
3.01,23/12/2015
4.96,30/11/2015
40.00,08/11/2017
0.24,26/03/2015
0.18,25/06/2018
0.00,15/05/2017
6.79,20/03/2019
71.14,30/11/2015
24.16,17/02/2015
33.00,10/06/2015
0.01,24/05/2016
276.16,06/12/2022
2.80,03/02/2017
0.04,25/05/2021
0.71,29/10/2015
2.26,14/02/2019
0.07,04/08/2017
0.01,16/12/2015
3.17,30/05/2016
32.71,02/03/2022
29.67,09/04/2019
20.40,02/10/2015
1.38,14/12/2018
0.30,26/02/2021
6.96,22/04/2015
0.01,05/03/2015
100.70,12/06/2017
73.38,26/09/2019
20.91,14/08/2015
217.47,10/07/2017
29.19,30/09/2016
25.92,18/12/2015
0.05,19/08/2015
58.92,28/09/2018
5.42,27/09/2022
0.13,23/11/2015
6.70,15/05/2017
74.78,03/07/2020
22.80,19/02/2019
6.21,31/08/2016
67.59,24/05/2022
0.17,31/03/2018
1.10,30/01/2019
20.14,21/07/2016
0.10,07/06/2018
18.14,31/03/2021
1.24,18/10/2016
0.13,12/08/2022
31.50,02/05/2019
1.60,02/05/2019
12.55,15/12/2016
9.16,01/12/2015
0.01,31/12/2015
4.80,31/07/2019
196.22,01/06/2021
0.03,31/03/2020
768.13,29/09/2021
86.65,23/12/2015
356.17,15/09/2017
0.07,09/06/2020
5.83,03/05/2017
3.15,30/10/2015
5.97,19/09/2017
0.00,04/03/2016
0.00,16/09/2016
0.18,26/02/2016
0.12,04/03/2016
0.67,30/10/2015
4.64,21/02/2019
0.02,16/10/2015
0.75,04/03/2016
0.03,07/10/2016
0.57,16/09/2016
0.04,26/02/2016
0.05,15/03/2016
1.89,04/03/2016
0.31,16/09/2016
0.03,23/09/2016
0.32,23/09/2016
4.88,30/11/2017
0.03,26/02/2016
0.02,07/10/2016
0.05,26/02/2016
0.01,04/03/2016
0.02,07/10/2016
18.44,26/12/2019
55.36,22/12/2016
0.29,04/03/2016
0.10,26/02/2016
"4,913.75",27/12/2022
65.64,18/08/2017
0.01,26/02/2016
0.32,16/09/2016
11.71,18/06/2019
11.32,01/04/2016
0.00,30/10/2015
0.97,24/08/2020
335.00,16/04/2018
6.93,09/01/2019
18.37,31/03/2017
0.30,03/06/2019
16.83,18/06/2016
0.01,01/09/2015
16.90,01/06/2017
65.39,09/02/2017
0.06,23/09/2015
0.06,23/09/2015
130.82,16/01/2018
0.13,30/04/2015
195.32,30/04/2016
13.35,09/06/2022
0.00,26/09/2019
0.17,14/10/2019
2.34,25/06/2018
27.40,17/06/2021
23.96,30/10/2015
63.80,01/03/2019
3.39,26/01/2018
2.29,06/08/2019
"1,257.73",15/12/2021
489.35,08/04/2021
715.52,25/01/2022
218.27,11/01/2018
0.35,30/11/2018
0.26,06/01/2016
780.00,21/08/2020
0.13,01/02/2017
2.00,01/06/2017
117.02,12/11/2020
35.88,12/06/2019
1.72,04/01/2021
4.13,14/07/2021
2.07,11/01/2016
1.16,01/04/2019
35.00,16/12/2020
1.55,28/03/2018
254.02,30/03/2021
36.34,09/08/2022
0.74,15/11/2019
3.37,29/03/2017
86.10,21/11/2016
8.40,31/12/2016
0.00,18/09/2018
119.75,15/01/2015
34.78,07/01/2016
34.50,09/11/2016
80.33,21/09/2018
14.25,05/03/2021
24.23,31/01/2017
24.40,01/12/2020
32.61,31/05/2017
9.90,27/05/2015
0.84,09/03/2017
1.95,13/08/2020
0.03,22/02/2021
6.35,07/10/2021
9.99,21/08/2015
167.28,31/10/2022
5.62,13/05/2019
0.98,19/01/2017
511.56,03/10/2016
0.40,08/10/2019
1.74,22/09/2015
4.21,17/02/2019
1.06,17/02/2019
0.85,05/02/2019
1.85,16/05/2016
1.85,19/05/2016
1.85,31/12/2016
531.83,01/04/2015
25.37,16/05/2018
17.02,22/12/2017
19.00,06/08/2019
300.00,02/02/2015
16.93,13/05/2019
7.50,01/04/2019
130.32,10/06/2021
121.74,01/10/2018
18.30,11/11/2015
15.23,27/10/2015
"2,380.80",14/09/2021
20.87,02/07/2015
12.91,01/09/2020
30.00,30/12/2018
32.50,05/01/2021
1.19,16/05/2018
3.30,04/11/2021
1.03,01/10/2021
490.40,10/11/2022
116.91,13/10/2016
534.04,29/04/2019
1.26,16/03/2015
18.01,15/02/2018
0.00,21/09/2019
0.00,13/08/2018
6.19,11/11/2015
3.08,07/06/2017
7.76,24/09/2015
579.82,02/08/2019
45.05,28/10/2021
0.43,30/04/2019
42.33,21/04/2021
0.02,13/06/2018
2.51,20/06/2016
0.18,04/03/2022
0.85,07/01/2021
883.21,21/08/2015
3.57,28/09/2016
6.36,15/09/2017
5.70,29/10/2021
3.86,27/02/2020
0.31,19/09/2016
52.87,09/02/2018
36.21,09/11/2017
3.76,14/05/2022
19.65,21/03/2017
11.46,14/04/2021
1.92,29/01/2018
26.59,25/08/2017
0.44,17/04/2017
4.82,27/07/2015
44.03,31/12/2017
1.41,31/10/2017
7.49,06/07/2016
94.62,01/03/2018
22.60,05/07/2018
3.62,16/08/2019
1.75,26/07/2021
1.36,26/06/2017
28.66,25/07/2019
167.29,30/06/2018
9.25,31/12/2020
9.76,07/09/2015
6.98,31/08/2020
8.12,19/01/2015
0.32,11/06/2015
19.27,30/12/2017
22.64,14/01/2022
9.25,07/09/2015
35.27,31/12/2020
44.07,22/11/2019
232.34,03/06/2015
34.62,23/12/2015
19.00,17/11/2017
0.09,24/05/2017
47.86,23/10/2020
1.57,09/01/2015
0.16,08/01/2015
0.79,08/01/2015
21.21,08/01/2015
0.57,29/10/2015
4.97,22/01/2016
19.87,29/09/2015
136.50,04/07/2015
2.22,11/01/2019
74.92,25/11/2015
0.06,31/05/2015
35.13,01/12/2017
35.30,30/11/2017
7.79,27/04/2018
100.10,02/08/2017
0.90,14/09/2022
"2,616.80",22/08/2016
46.09,21/02/2018
2.36,20/09/2016
0.20,31/12/2021
38.73,14/12/2016
15.28,31/12/2019
1.78,14/04/2016
9.11,30/04/2020
4.20,18/03/2016
80.00,01/11/2019
5.70,19/05/2016
815.97,31/08/2020
0.47,31/03/2021
9.79,18/08/2017
47.58,30/01/2020
1.96,20/10/2016
0.09,06/12/2018
2.38,11/10/2022
11.52,14/02/2019
20.37,08/08/2020
14.90,09/03/2021
8.15,14/08/2015
141.40,26/01/2017
63.16,23/02/2017
18.53,30/06/2022
0.02,30/11/2015
43.31,31/05/2019
0.46,02/04/2018
25.00,08/12/2016
1.67,30/01/2018
0.10,17/11/2016
12.00,21/05/2015
0.82,31/03/2017
42.07,20/01/2022
8.10,16/12/2020
46.00,11/07/2016
8.01,27/08/2021
0.25,21/12/2020
34.03,26/07/2021
2.90,24/04/2017
12.56,05/05/2022
22.98,23/03/2016
0.12,25/01/2017
11.38,04/12/2017
6.47,04/10/2016
3.22,12/01/2016
110.11,29/09/2020
23.32,22/12/2016
7.60,31/10/2018
1.53,30/06/2017
72.05,31/12/2017
2.71,31/12/2017
145.75,31/12/2018
28.39,30/09/2017
10.34,23/09/2022
0.17,13/12/2019
248.46,16/08/2020
114.07,02/01/2019
6.10,05/04/2021
6.98,23/05/2022
22.69,09/02/2015
16.64,07/03/2017
6.32,09/10/2015
21.25,19/05/2016
31.61,16/12/2020
4.75,11/04/2015
25.71,07/08/2015
0.91,14/07/2015
279.00,01/11/2022
24.05,05/05/2015
33.76,26/02/2021
135.00,03/12/2015
0.33,01/08/2019
0.01,01/10/2020
10.10,08/01/2021
0.10,27/03/2016
0.08,18/01/2018
8.00,08/07/2020
1.60,30/03/2015
939.87,25/02/2015
642.54,30/11/2021
401.78,26/08/2016
45.00,15/07/2020
14.06,15/10/2018
3.98,31/12/2016
3.62,14/05/2021
1.92,02/11/2022
2.80,31/12/2021
370.20,31/10/2018
1.89,31/10/2015
0.17,09/03/2016
43.23,01/08/2022
0.87,29/09/2018
15.94,01/11/2016
413.41,29/04/2015
0.01,30/03/2015
7.00,07/07/2015
84.00,31/12/2019
2.37,29/01/2019
1.60,03/02/2016
22.80,30/11/2017
14.29,27/02/2015
0.99,04/12/2015
8.09,18/08/2021
0.01,02/10/2020
120.81,30/11/2017
145.00,01/05/2020
22.55,16/06/2017
"1,530.94",31/08/2019
49.13,31/12/2015
27.95,31/10/2019
59.42,01/12/2021
42.76,30/11/2020
6.32,24/02/2021
334.57,19/10/2016
1.77,25/01/2016
50.00,22/09/2017
121.22,16/06/2016
820.00,16/11/2017
804.46,01/04/2015
0.56,12/12/2022
3.12,17/07/2015
1.40,29/11/2017
16.00,17/12/2019
79.98,12/04/2015
185.81,01/02/2021
47.00,07/06/2016
14.00,01/03/2021
110.00,16/10/2019
6.35,12/06/2018
0.95,31/07/2015
3.37,30/06/2017
0.75,31/12/2015
125.00,13/04/2017
16.41,15/07/2016
61.80,28/03/2018
850.14,18/03/2017
"1,027.18",07/07/2022
119.20,31/03/2016
202.83,01/12/2016
171.19,04/08/2017
310.00,30/09/2020
360.00,17/10/2018
"1,100.00",26/09/2017
228.10,29/12/2020
14.20,14/03/2022
8.93,11/04/2017
2.59,30/11/2020
11.01,15/11/2019
0.01,01/11/2016
588.17,25/12/2017
0.76,31/07/2020
45.50,30/04/2016
2.10,12/01/2018
24.95,01/12/2021
258.42,16/04/2021
54.63,27/06/2018
3.48,19/04/2018
13.14,25/01/2018
1.05,28/12/2020
7.00,26/07/2015
22.25,31/03/2018
0.38,31/03/2016
0.71,30/05/2022
0.22,30/07/2018
0.06,30/07/2018
538.29,01/11/2022
462.63,08/07/2015
175.78,28/02/2018
2.38,31/07/2021
1.73,31/12/2021
5.70,30/04/2022
11.45,02/09/2022
9.45,03/10/2022
1.29,04/10/2022
3.80,31/12/2015
44.70,01/10/2015
32.40,23/09/2016
6.78,17/06/2022
24.08,30/06/2022
10.47,22/10/2015
1.75,08/04/2019
19.20,03/12/2020
25.00,08/11/2019
1.48,04/05/2016
1.50,01/06/2016
148.28,07/10/2022
3.60,31/01/2015
20.00,07/01/2015
0.03,27/01/2016
0.92,09/08/2019
64.88,03/10/2018
0.00,20/09/2019
287.74,21/10/2015
86.37,28/05/2015
0.52,20/08/2015
519.97,20/08/2015
1.56,12/08/2015
13.18,31/08/2019
6.00,14/07/2017
2.65,31/10/2017
19.50,16/04/2015
33.50,20/06/2018
0.40,30/03/2015
3.84,01/04/2021
0.01,21/12/2018
46.30,21/06/2018
0.00,20/06/2021
0.38,26/04/2022
10.00,17/10/2016
0.44,08/02/2017
36.61,20/12/2022
1.75,30/05/2017
14.38,12/12/2022
62.00,05/10/2015
0.17,03/04/2017
37.97,21/12/2022
53.15,25/11/2021
8.50,25/01/2022
40.00,13/01/2015
23.69,07/04/2017
0.00,22/08/2017
36.30,03/11/2016
27.81,06/04/2021
448.00,01/07/2016
17.80,23/02/2016
351.73,18/05/2020
5.79,18/08/2022
2.43,01/11/2016
"2,382.52",29/11/2019
5.66,29/06/2022
0.28,22/05/2019
54.26,03/08/2015
41.46,20/12/2018
410.00,20/09/2017
0.45,06/01/2016
0.00,07/11/2022
15.83,11/08/2016
0.01,31/03/2020
0.20,31/03/2020
9.02,06/04/2020
1.70,10/10/2016
92.81,04/04/2017
0.30,08/02/2018
NA,26/07/2015
155.93,09/08/2016
2.39,04/12/2020
6.02,11/08/2017
3.00,27/06/2016
0.04,31/03/2016
9.85,08/11/2022
7.00,01/06/2017
"3,121.52",03/03/2020
0.37,29/03/2022
0.57,19/11/2020
11.74,10/12/2020
500.72,22/01/2016
176.76,31/01/2018
"1,500.00",23/02/2017
559.35,16/03/2022
41.38,16/02/2018
49.31,30/03/2021
0.10,07/02/2020
39.89,22/05/2017
0.08,27/10/2016
0.25,05/09/2022
0.02,16/03/2020
206.32,15/04/2019
3.10,20/01/2015
163.16,29/04/2022
1.19,27/02/2018
182.14,18/07/2018
2.35,29/02/2020
15.83,12/10/2018
39.00,07/05/2019
"10,239.51",22/04/2021
5.00,31/10/2016
5.55,27/01/2021
4.86,01/12/2020
10.00,31/07/2019
4.39,11/07/2017
17.50,13/12/2016
NA,30/06/2018
0.34,03/11/2017
4.04,08/02/2022
3.86,14/10/2021
141.59,01/07/2018
"3,882.33",22/07/2020
244.65,23/01/2018
410.74,20/02/2019
19.00,25/03/2017
0.35,29/03/2021
2.42,30/04/2021
1.30,11/08/2015
2.50,09/11/2017
76.80,11/05/2022
149.50,02/03/2021
"2,096.68",28/03/2019
0.05,30/06/2020
72.59,03/07/2017
80.00,02/05/2016
23.06,09/07/2021
9.64,31/01/2019
1.57,01/06/2016
9.14,01/07/2022
16.89,13/07/2021
1.89,29/07/2016
10.14,05/03/2021
0.14,21/02/2018
2.37,11/11/2021
15.35,22/12/2017
9.58,27/10/2016
9.65,18/08/2017
12.30,23/07/2020
32.22,31/12/2016
365.42,23/10/2019
5.04,01/04/2015
10.50,31/03/2018
16.00,19/10/2015
"1,340.65",31/05/2021
6.50,25/01/2018
7.14,01/05/2017
299.05,20/04/2016
1.50,31/03/2022
45.00,05/07/2019
"33,125.30",09/07/2019
3.32,16/03/2019
0.92,06/04/2016
5.50,12/04/2018
4.90,15/12/2022
12.63,11/06/2021
65.00,31/07/2015
15.25,10/05/2017
0.55,03/12/2019
71.94,31/07/2021
156.93,30/06/2019
0.04,30/06/2019
15.00,03/11/2021
873.98,28/05/2021
"1,736.51",20/06/2018
0.33,01/10/2019
0.42,31/08/2021
100.00,26/07/2018
57.50,31/12/2021
173.00,12/10/2018
5.00,31/12/2015
54.00,28/08/2017
2.00,30/06/2016
3.93,07/04/2015
1.90,23/10/2019
281.12,05/09/2019
20.00,10/04/2015
2.70,21/04/2016
20.92,27/12/2017
43.00,30/04/2018
"1,617.77",04/05/2022
0.25,28/01/2021
84.54,08/02/2021
0.59,02/08/2019
54.14,02/07/2015
17.22,01/02/2017
28.92,05/05/2021
"36,659.80",29/01/2021
21.49,17/02/2022
14.20,01/02/2021
20.00,26/10/2021
74.94,25/03/2017
548.00,01/09/2020
2.38,01/10/2018
51.38,30/06/2020
7.62,28/09/2018
10.28,27/04/2017
5.98,04/12/2015
0.00,20/03/2017
0.16,12/06/2017
15.00,24/05/2022
142.00,31/08/2018
20.20,01/11/2016
6.14,17/11/2020
0.03,14/07/2017
6.00,31/03/2015
42.09,15/09/2016
138.79,28/06/2017
3.40,17/06/2021
2.01,30/04/2015
0.81,09/02/2016
9.51,30/11/2018
15.00,01/06/2017
1.70,23/12/2015
2.48,24/01/2018
0.01,28/09/2017
0.03,31/12/2016
2.32,03/01/2022
47.10,30/11/2020
120.00,04/11/2019
0.50,29/10/2019
9.93,01/11/2015
23.40,30/11/2015
2.16,01/08/2016
"6,567.05",10/08/2021
"10,835.00",03/11/2021
"5,100.00",16/04/2021
262.93,15/10/2018
167.76,08/06/2015
5.10,08/05/2015
9.45,09/07/2020
7.01,16/09/2020
1.34,31/01/2017
10.00,26/08/2015
7.40,24/05/2021
251.70,25/10/2018
0.18,25/04/2022
0.12,21/06/2017
128.53,12/04/2019
70.80,19/07/2017
0.12,14/10/2022
21.48,01/07/2015
340.91,30/03/2016
43.03,08/04/2015
208.38,21/08/2019
774.96,27/09/2019
58.63,13/07/2017
599.11,01/01/2022
6.00,01/07/2015
42.00,23/01/2015
6.48,28/02/2020
35.62,02/06/2020
14.90,02/02/2016
65.00,31/12/2015
3.00,01/08/2018
15.83,01/02/2017
26.93,01/07/2019
0.75,30/06/2017
16.11,01/10/2015
11.90,31/03/2016
26.22,27/09/2017
4.17,28/12/2015
24.74,14/01/2015
197.45,13/01/2017
6.57,24/04/2015
250.00,01/10/2017
200.62,17/06/2016
3.44,02/07/2015
2.00,16/08/2017
56.13,30/06/2018
1.99,01/03/2019
15.33,26/02/2016
2.87,31/03/2015
0.10,01/06/2015
48.60,01/10/2021
0.00,15/01/2019
93.00,15/08/2018
100.00,10/03/2021
0.01,31/12/2019
4.75,01/09/2020
30.00,26/06/2018
11.09,28/04/2017
28.00,31/03/2015
22.83,26/06/2015
22.83,26/06/2015
72.62,15/11/2018
50.00,03/09/2015
5.10,01/06/2018
7.50,29/08/2018
20.33,14/03/2016
3.00,30/11/2020
1.00,11/03/2016
4.20,18/09/2017
82.50,28/06/2019
16.50,25/01/2018
26.32,02/09/2015
50.14,25/08/2015
23.53,27/01/2015
6.80,25/05/2021
6.21,05/10/2021
9.72,24/07/2015
0.14,08/03/2018
15.76,02/10/2015
0.71,02/03/2015
40.00,15/12/2020
35.30,14/03/2016
57.10,15/10/2018
0.31,31/07/2018
180.00,22/09/2020
2.61,02/07/2021
17.00,20/05/2015
400.00,31/12/2018
580.70,11/07/2019
362.00,26/05/2016
15.89,22/07/2017
10.02,24/05/2018
0.17,27/05/2017
19.40,03/10/2022
16.23,30/06/2015
6.75,11/07/2016
46.50,07/08/2015
4.75,24/06/2016
233.00,18/04/2016
30.00,04/01/2021
2.26,08/09/2016
2.68,02/07/2015
120.34,15/09/2022
1.33,30/08/2020
88.00,21/12/2022
0.03,28/02/2020
150.00,25/08/2021
32.00,20/12/2022
59.18,03/11/2022
"1,900.00",28/07/2017
12.14,03/10/2018
108.50,19/10/2015
260.00,30/03/2016
"1,453.31",09/12/2020
313.82,08/08/2019
"4,565.18",27/09/2019
"4,276.12",02/02/2021
909.57,12/03/2015
"1,135.20",31/03/2016
549.33,27/07/2016
2.01,10/12/2016
204.89,01/07/2021
255.04,30/06/2017
38.03,30/10/2015
51.71,03/07/2020
184.21,14/03/2016
14.91,24/06/2022
88.50,30/09/2016
"1,819.25",01/04/2021
18.06,10/04/2015
363.96,28/06/2022
71.59,01/08/2017
13.30,26/08/2015
810.50,29/12/2016
25.00,05/01/2022
206.91,08/09/2016
8.68,07/03/2018
10.36,27/03/2017
6.48,31/12/2015
0.39,17/04/2019
177.60,18/11/2020
5.05,29/06/2016
27.80,01/07/2021
1.00,30/06/2018
2.83,14/11/2016
158.24,23/05/2022
3.13,20/06/2019
2.58,14/08/2015
19.70,09/03/2017
10.10,08/11/2017
"1,552.00",29/12/2016
0.19,30/10/2017
25.52,01/09/2017
108.98,22/02/2017
66.96,17/01/2020
5.30,10/03/2016
3.28,05/10/2016
360.00,01/02/2016
313.48,01/05/2015
"4,892.38",07/11/2022
97.98,01/04/2016
46.92,20/10/2015
165.07,01/10/2017
69.35,17/12/2017
372.94,01/11/2015
109.00,06/11/2018
7.92,08/12/2022
9.00,19/12/2022
86.32,06/12/2022
2.38,28/06/2019
2.74,23/06/2016
118.81,01/05/2020
2.40,15/07/2019
15.50,25/03/2019
15.34,14/09/2020
0.66,19/04/2017
2.93,31/12/2015
20.80,30/11/2017
4.86,01/10/2019
1.40,01/03/2022
30.96,01/05/2022
0.97,26/08/2022
202.60,01/10/2021
61.50,28/06/2019
13.00,05/04/2018
9.79,16/12/2020
"2,350.00",04/01/2021
4.03,01/11/2019
18.00,24/08/2016
40.99,31/10/2015
7.00,11/02/2019
71.11,13/10/2015
0.13,10/06/2015
26.00,23/02/2015
1.34,05/08/2022
240.00,01/09/2016
293.20,01/04/2020
192.90,31/05/2015
12.40,01/10/2021
"1,640.00",01/12/2021
46.40,31/03/2019
21.53,16/01/2017
1.80,22/11/2021
60.00,05/01/2017
180.32,30/11/2021
"2,091.82",21/07/2021
0.10,26/03/2018
0.37,31/07/2020
0.20,21/02/2022
182.00,20/12/2021
400.00,01/12/2016
8.50,14/10/2022
2.80,21/04/2015
0.14,05/02/2018
0.18,22/04/2020
0.26,17/08/2020
10.92,28/04/2016
"5,088.35",13/01/2016
1.17,30/06/2018
135.63,02/01/2020
150.00,31/03/2021
55.50,04/09/2019
175.64,27/03/2018
1.78,14/04/2016
76.86,14/04/2016
86.31,14/04/2016
0.17,11/03/2021
760.20,14/04/2016
15.12,31/08/2020
26.57,30/11/2017
0.97,01/02/2021
5.25,03/11/2021
51.99,31/03/2022
274.59,20/04/2018
7.92,28/08/2019
5.31,02/02/2016
12.54,07/05/2021
340.00,30/11/2018
"1,318.63",10/07/2020
266.27,10/06/2021
42.55,12/06/2018
36.50,15/09/2021
80.72,19/06/2017
0.26,03/08/2016
7.39,05/09/2019
5.00,15/05/2018
4.00,18/10/2021
167.27,02/03/2016
0.35,25/09/2021
0.17,16/09/2021
5.50,08/12/2022
44.74,30/11/2018
9.88,03/07/2018
8.10,15/08/2017
4.50,17/12/2015
20.25,24/06/2021
1.73,17/10/2017
0.13,01/01/2017
0.40,20/09/2016
23.22,06/01/2015
7.59,23/02/2015
341.23,23/04/2020
115.00,18/06/2021
9.15,19/11/2021
1.12,20/09/2017
105.00,14/10/2016
2.82,31/08/2018
533.42,01/06/2017
4.00,01/12/2021
9.41,30/04/2019
213.71,21/12/2018
3.70,05/07/2018
